s,0.7396348,0.1754255,-0.6997612,0.6833179,-1.3230644,-0.09994456,-0.33605412,0.6912958,0.7521989,0.3056525,0.88299817,-0.42199203,-0.51915514,1.0906823,0.23645331,-3.1461987,0.1414103,0.22355069,-0.3832633,-0.90321773,-0.06193653,-0.1281606,0.9458234,-1.7838078,-0.09934975,1.5243593,-1.1399866,-0.6996797,-0.2695421,-1.4054164,0.025238656,0.5768723
A,1.7091241,0.7828163,-0.7433424,0.7931074,-0.5952756,0.75546545,-1.671882,-0.57066506,2.2825139,0.22194171,0.04025019,1.0433911,-0.19858319,-1.2316561,0.7897632,-0.6643712,0.20741458,0.40425223,1.2278225,-0.80463177,1.6528704,0.9148354,-0.19551831,-0.42638907,0.974594,0.027469017,1.3402131,-0.008281772,0.68665826,0.6496804,0.126632,-0.94194025
C,0.11582299,1.1803896,0.3875754,1.3119826,0.9486941,-0.34647408,-0.76675695,0.30169338,-0.21139334,-0.73342204,-0.8768219,0.47620678,-1.2776635,-0.59278363,-1.746927,-0.65104246,-1.5341346,0.17763872,-0.85361046,-0.06136415,0.71404046,1.2115325,-0.22750373,1.568893,-0.84231687,-0.12288751,0.1168411,1.2534503,0.4053263,-2.545347,-0.18618657,-1.5072662
D,1.6441797,1.4811049,0.62745565,0.582208,-0.21556088,-0.4739551,-0.37035248,-1.465855,-0.13237417,-0.82465273,0.8076953,-0.7478944,-0.47234806,-1.5557346,-0.61164826,0.86196166,0.9664628,-2.1441994,0.025252514,0.98034066,1.3103915,-2.2790017,0.6492952,-0.6799911,-0.029478477,1.8004322,-0.87804127,-0.96161264,0.3839941,1.0832018,1.4639555,0.0247332
E,0.81681603,-0.024094744,-0.011395372,-0.0139130335,-0.24820858,0.6595895,-0.94891137,0.7661192,-0.1393666,0.13480274,-0.5539901,-0.11919583,-0.52199256,2.3543227,0.8064923,0.80047405,-0.33482894,-2.0738719,-0.6666477,-0.9860671,0.9547388,-1.3072507,-0.5962438,-0.24814168,-0.7927347,0.7574414,-0.28140193,-0.2436185,-0.8665726,-1.5393691,0.6837443,-0.3717884
F,-0.8433172,0.3653037,-1.2789329,-0.58637977,0.18352437,0.024024528,0.59754306,0.07897713,0.021419195,1.1250851,-0.40424278,0.15439808,1.718871,1.0037411,1.4900784,0.029400421,-0.23255022,0.111101866,-2.0462418,0.2935122,0.07248445,0.26577753,-0.08965495,-0.648265,-0.12120529,-0.08322302,-0.46397668,0.043490652,-1.5681565,1.5057057,-0.21544093,0.72232366
G,-1.4237713,0.14059713,0.9158948,-0.99916697,-0.45548585,1.5820547,-1.6454667,-0.37689748,-1.3769283,0.768412,-0.19201078,-0.8380197,0.9167588,-1.5411117,-0.0071872408,1.1575669,-1.4140925,0.78530353,0.5658627,-1.3519603,0.59790254,0.1653453,1.3236344,-0.33652574,-0.059819307,-0.39019415,0.2860262,1.2015678,0.864118,0.6984991,0.5997775,1.7431982
H,0.0068384414,0.9894898,-0.2692542,2.2596087,-0.5568347,-1.0532457,0.8989165,-2.772639,-0.22075963,1.5365729,1.2390349,0.51717997,1.5498698,-1.5087131,-0.47531202,0.5638896,2.343944,-0.2867789,-0.85396665,-0.71971536,-2.0372481,-2.0253136,-0.53302616,0.9083216,0.898934,-0.1200901,0.9473123,-1.2429651,-0.07310127,0.9804721,-1.4182901,0.24665554
I,1.9091698,0.4051443,-0.28108647,-0.90036964,0.9793909,-2.3139446,-1.1739767,0.28127268,-1.6369033,0.17333673,-1.0292081,-0.61244375,0.30670556,0.56557435,-1.0811422,0.2935099,-0.19563974,-0.6764408,-1.122404,0.5130045,-0.1600937,0.19120033,0.45304978,-0.53149486,-0.11199009,-1.6274215,-1.0280803,-0.3979942,-0.78011644,-0.08696517,-1.6314462,0.9783848
K,-0.3878004,-0.94921,-1.7451861,-1.0419858,-0.19594355,0.6838635,-1.0504837,0.7152728,1.501269,-3.174797,0.20488457,-0.55827075,0.86668175,2.7733045,1.3524572,1.2733109,1.7140682,-0.28366858,-0.0407878,1.6898222,-1.2426912,1.7322656,-0.8549008,1.3257029,0.016241618,-1.0561674,0.71751326,1.1362556,1.5083498,-0.38751712,1.0167084,0.50010526
L,-0.046681754,-0.065670125,-0.77666855,1.4928948,0.8130236,-0.86464334,-1.3002232,0.41686958,-0.21103258,1.2681693,-1.4278673,-1.5425596,-1.0009751,0.14382721,0.7426019,1.8625883,-0.19249983,-0.3163195,-0.10618784,1.6560458,-0.52942324,0.6428439,-0.8658927,-0.8462414,0.82128817,-0.5708087,0.94393504,-0.451016,-0.94943076,-0.4637115,1.9168427,-1.027693
